https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1667779200000,2022-11-07 00:00:00,ETH/USDT,1567.42,1580.50,1565.09,1577.58,148740.810,233851518.64264,77145
1667692800000,2022-11-06 00:00:00,ETH/USDT,1626.11,1638.50,1561.32,1567.42,3810965.466,6138703520.86827,2312804
1667606400000,2022-11-05 00:00:00,ETH/USDT,1644.08,1666.80,1620.10,1626.11,3007552.195,4936106420.27118,1907449
1667520000000,2022-11-04 00:00:00,ETH/USDT,1530.27,1679.40,1527.78,1644.09,8773312.803,14117291322.98787,4586447
1667433600000,2022-11-03 00:00:00,ETH/USDT,1517.26,1558.14,1514.07,1530.27,4820992.806,7425208238.02046,3015527
1667347200000,2022-11-02 00:00:00,ETH/USDT,1577.88,1622.50,1501.00,1517.26,8956953.565,13993599315.82898,5212982
1667260800000,2022-11-01 00:00:00,ETH/USDT,1572.00,1613.00,1562.70,1577.88,4495232.885,7122535302.01501,3071638
1667174400000,2022-10-31 00:00:00,ETH/USDT,1589.88,1634.93,1543.72,1572.01,7113753.830,11265423901.76959,4079724
1667088000000,2022-10-30 00:00:00,ETH/USDT,1618.82,1639.87,1574.60,1589.89,3955450.865,6332682157.97092,2602199
1667001600000,2022-10-29 00:00:00,ETH/USDT,1553.80,1665.00,1546.71,1618.82,7454042.474,12038906676.54819,4313716
1666915200000,2022-10-28 00:00:00,ETH/USDT,1513.70,1574.80,1475.00,1553.79,7430625.343,11324631030.27013,4495171
1666828800000,2022-10-27 00:00:00,ETH/USDT,1565.45,1588.00,1500.46,1513.70,8021549.342,12406744072.25012,4785262
1666742400000,2022-10-26 00:00:00,ETH/USDT,1459.19,1595.00,1456.69,1565.45,10817326.890,16625093320.88943,5662698
1666656000000,2022-10-25 00:00:00,ETH/USDT,1342.73,1533.68,1334.16,1459.20,11473585.177,16344240230.08303,5230442
1666569600000,2022-10-24 00:00:00,ETH/USDT,1363.43,1370.40,1322.25,1342.72,5502275.006,7394468406.05214,2838633
1666483200000,2022-10-23 00:00:00,ETH/USDT,1313.18,1371.00,1298.22,1363.44,3682722.299,4892526172.62552,1877507
1666396800000,2022-10-22 00:00:00,ETH/USDT,1299.08,1320.00,1293.67,1313.19,2486638.762,3251370186.83828,1229803
1666310400000,2022-10-21 00:00:00,ETH/USDT,1282.19,1307.00,1248.00,1299.08,6030198.052,7736955770.56057,2531304
1666224000000,2022-10-20 00:00:00,ETH/USDT,1284.45,1310.00,1270.00,1282.20,5294962.986,6829877558.46932,2458114
1666137600000,2022-10-19 00:00:00,ETH/USDT,1309.93,1312.78,1275.56,1284.45,4389238.836,5694630433.42334,2318403
1666051200000,2022-10-18 00:00:00,ETH/USDT,1330.62,1342.00,1285.11,1309.93,6506270.391,8569353674.81877,3082581
1665964800000,2022-10-17 00:00:00,ETH/USDT,1305.52,1338.16,1295.00,1330.62,5154706.890,6802174597.73257,2613961
1665878400000,2022-10-16 00:00:00,ETH/USDT,1274.12,1315.00,1273.98,1305.51,3282852.856,4242204246.14907,1782879
1665792000000,2022-10-15 00:00:00,ETH/USDT,1295.34,1301.32,1262.12,1274.13,3049822.110,3917050344.33982,1692294
1665705600000,2022-10-14 00:00:00,ETH/USDT,1286.38,1343.36,1282.74,1295.35,7171699.686,9450587003.03056,3756235
1665619200000,2022-10-13 00:00:00,ETH/USDT,1294.02,1301.00,1176.00,1286.38,10523564.637,13177563627.81076,5203186
1665532800000,2022-10-12 00:00:00,ETH/USDT,1279.67,1306.60,1274.35,1294.02,4405169.271,5701823057.72268,2408056
