https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1667779200000,2022-11-07 00:00:00,XRP/USDT,0.4707,0.4742,0.4695,0.4742,26378233.9,12445115.99749,13697
1667692800000,2022-11-06 00:00:00,XRP/USDT,0.4929,0.4946,0.4673,0.4706,1046763840.6,508292786.47417,551780
1667606400000,2022-11-05 00:00:00,XRP/USDT,0.5060,0.5100,0.4884,0.4929,1443694783.8,719620269.72611,711033
1667520000000,2022-11-04 00:00:00,XRP/USDT,0.4545,0.5075,0.4528,0.5060,3148931967.4,1540938268.55102,1337628
1667433600000,2022-11-03 00:00:00,XRP/USDT,0.4495,0.4595,0.4484,0.4546,1106659502.4,504304132.35322,515752
1667347200000,2022-11-02 00:00:00,XRP/USDT,0.4634,0.4658,0.4445,0.4494,1589776026.5,726663734.80644,767403
1667260800000,2022-11-01 00:00:00,XRP/USDT,0.4642,0.4668,0.4538,0.4633,1165517054.9,536953414.46235,551980
1667174400000,2022-10-31 00:00:00,XRP/USDT,0.4578,0.4673,0.4472,0.4642,1556489368.3,710813915.39301,739344
1667088000000,2022-10-30 00:00:00,XRP/USDT,0.4698,0.4730,0.4532,0.4578,1112781231.5,515583829.05571,493424
1667001600000,2022-10-29 00:00:00,XRP/USDT,0.4740,0.4836,0.4654,0.4698,1473314493.8,697105147.07661,715474
1666915200000,2022-10-28 00:00:00,XRP/USDT,0.4611,0.4754,0.4561,0.4741,1355365677.1,629576521.11783,549743
1666828800000,2022-10-27 00:00:00,XRP/USDT,0.4686,0.4824,0.4580,0.4612,2287008929.8,1076600074.98226,886695
1666742400000,2022-10-26 00:00:00,XRP/USDT,0.4603,0.4715,0.4561,0.4686,1888556589.7,877180781.14790,716264
1666656000000,2022-10-25 00:00:00,XRP/USDT,0.4527,0.4727,0.4432,0.4603,2331242249.3,1064475945.55958,843220
1666569600000,2022-10-24 00:00:00,XRP/USDT,0.4686,0.4729,0.4450,0.4527,1694125398.4,773807504.68297,583752
1666483200000,2022-10-23 00:00:00,XRP/USDT,0.4651,0.4724,0.4516,0.4687,1538849298.7,709216072.16398,567316
1666396800000,2022-10-22 00:00:00,XRP/USDT,0.4611,0.4706,0.4556,0.4651,1458223703.7,674829405.88442,527558
1666310400000,2022-10-21 00:00:00,XRP/USDT,0.4463,0.4614,0.4340,0.4611,2737281971.1,1222178898.47068,841431
1666224000000,2022-10-20 00:00:00,XRP/USDT,0.4501,0.4645,0.4202,0.4462,3124351145.1,1406678729.26885,1015615
1666137600000,2022-10-19 00:00:00,XRP/USDT,0.4656,0.4665,0.4465,0.4500,2378974671.0,1087812468.10408,756898
1666051200000,2022-10-18 00:00:00,XRP/USDT,0.4801,0.4841,0.4562,0.4656,2433199650.5,1142725508.46370,796214
1665964800000,2022-10-17 00:00:00,XRP/USDT,0.4762,0.4824,0.4624,0.4800,2450580179.5,1158926738.13002,830911
1665878400000,2022-10-16 00:00:00,XRP/USDT,0.4816,0.4873,0.4676,0.4762,1633661179.9,782643248.11071,628443
1665792000000,2022-10-15 00:00:00,XRP/USDT,0.4880,0.4900,0.4772,0.4817,1476508872.0,714910700.96348,560087
1665705600000,2022-10-14 00:00:00,XRP/USDT,0.4788,0.5124,0.4776,0.4880,3870606624.9,1922034149.41697,1344447
1665619200000,2022-10-13 00:00:00,XRP/USDT,0.4880,0.4895,0.4398,0.4788,5248966515.5,2451374475.92293,1733367
1665532800000,2022-10-12 00:00:00,XRP/USDT,0.4858,0.4959,0.4800,0.4879,2407845655.8,1176420149.31202,889206
1665446400000,2022-10-11 00:00:00,XRP/USDT,0.4938,0.5023,0.4760,0.4858,4294805204.4,2106180471.20607,1508492
1665360000000,2022-10-10 00:00:00,XRP/USDT,0.5325,0.5377,0.4901,0.4938,4256335982.6,2210729222.91239,1557629
1665273600000,2022-10-09 00:00:00,XRP/USDT,0.5168,0.5496,0.5057,0.5324,3278025646.1,1721687809.36397,1293399
1665187200000,2022-10-08 00:00:00,XRP/USDT,0.5173,0.5291,0.5107,0.5168,3062392798.3,1591860753.05531,1314575
1665100800000,2022-10-07 00:00:00,XRP/USDT,0.4930,0.5339,0.4795,0.5173,3909658080.6,1959532889.39530,1540703
1665014400000,2022-10-06 00:00:00,XRP/USDT,0.4885,0.5059,0.4880,0.4931,3333393737.1,1653991607.22143,1238890
1664928000000,2022-10-05 00:00:00,XRP/USDT,0.4792,0.5023,0.4714,0.4885,4292650104.9,2085874642.98412,1576808
1664841600000,2022-10-04 00:00:00,XRP/USDT,0.4618,0.4858,0.4512,0.4792,3346172919.8,1576763259.99013,1241407
1664755200000,2022-10-03 00:00:00,XRP/USDT,0.4481,0.4690,0.4369,0.4617,2991602375.6,1347241421.18245,1127602
1664668800000,2022-10-02 00:00:00,XRP/USDT,0.4752,0.4784,0.4420,0.4482,2507843630.6,1157890642.04350,1021062
1664582400000,2022-10-01 00:00:00,XRP/USDT,0.4797,0.4864,0.4664,0.4751,2601839139.1,1238164415.97748,1070757
1664496000000,2022-09-30 00:00:00,XRP/USDT,0.4874,0.4988,0.4650,0.4797,5845305625.0,2823859810.10291,2330597
1664409600000,2022-09-29 00:00:00,XRP/USDT,0.4489,0.5094,0.4260,0.4874,5605640575.0,2599499964.44793,2100465
1664323200000,2022-09-28 00:00:00,XRP/USDT,0.4454,0.4554,0.4166,0.4488,3928802715.8,1698111143.03966,1462888
1664236800000,2022-09-27 00:00:00,XRP/USDT,0.4679,0.4875,0.4344,0.4454,4065426453.5,1885235436.80043,1599613
1664150400000,2022-09-26 00:00:00,XRP/USDT,0.4912,0.5016,0.4572,0.4679,4220981694.4,2000043191.25045,1829927
1664064000000,2022-09-25 00:00:00,XRP/USDT,0.4877,0.5210,0.4753,0.4912,6321139196.2,3139935574.41410,2565176
1663977600000,2022-09-24 00:00:00,XRP/USDT,0.5064,0.5191,0.4713,0.4877,5441395354.6,2692205774.81299,2432163
1663891200000,2022-09-23 00:00:00,XRP/USDT,0.4857,0.5588,0.4560,0.5063,12593260345.8,6328840752.38404,4949697
1663804800000,2022-09-22 00:00:00,XRP/USDT,0.3933,0.5009,0.3930,0.4857,7453889518.2,3338578192.20731,2897690
1663718400000,2022-09-21 00:00:00,XRP/USDT,0.4134,0.4340,0.3750,0.3932,5580152961.2,2253627453.47963,2255155
1663632000000,2022-09-20 00:00:00,XRP/USDT,0.3844,0.4241,0.3701,0.4135,6156393930.8,2454188190.90732,2180107
1663545600000,2022-09-19 00:00:00,XRP/USDT,0.3576,0.3929,0.3396,0.3844,3438185209.3,1245924900.91196,1382705
1663459200000,2022-09-18 00:00:00,XRP/USDT,0.3761,0.3979,0.3555,0.3576,4366106072.8,1658590065.92487,1655209
1663372800000,2022-09-17 00:00:00,XRP/USDT,0.3552,0.3814,0.3461,0.3761,2580413857.9,945255981.90831,924325
1663286400000,2022-09-16 00:00:00,XRP/USDT,0.3260,0.3580,0.3211,0.3551,1231694519.9,415168866.50145,547173
1663200000000,2022-09-15 00:00:00,XRP/USDT,0.3413,0.3425,0.3239,0.3260,985108572.9,327909412.20318,448172
1663113600000,2022-09-14 00:00:00,XRP/USDT,0.3322,0.3439,0.3308,0.3413,714312529.3,240506334.85560,337699
1663027200000,2022-09-13 00:00:00,XRP/USDT,0.3596,0.3601,0.3303,0.3323,1083474088.3,374169691.28177,491416
1662940800000,2022-09-12 00:00:00,XRP/USDT,0.3548,0.3600,0.3475,0.3596,765513534.6,270954529.21156,382290
1662854400000,2022-09-11 00:00:00,XRP/USDT,0.3572,0.3604,0.3483,0.3548,506542671.9,179911190.14156,272547
